TSLA	Tesla, Inc.	9.96%
TEM	Tempus AI, Inc.	5.60%
CRSP	CRISPR Therapeutics AG	5.02%
AMD	Advanced Micro Devices, Inc.	4.61%
HOOD	Robinhood Markets, Inc.	4.55%
SPCX	Space Exploration Technologies Corp.	4.30%
SHOP	Shopify Inc.	4.17%
TWST	Twist Bioscience Corporation	3.77%
COIN	Coinbase Global, Inc.	3.66%
BEAM	Beam Therapeutics Inc.	3.36%
CRCL	Circle Internet Group, Inc.	3.31%
RBLX	Roblox Corporation	3.29%
TXG	10x Genomics, Inc.	3.05%
NTLA	Intellia Therapeutics, Inc.	2.82%
PLTR	Palantir Technologies Inc.	2.58%
AMZN	Amazon.com, Inc.	2.33%
CRWV	CoreWeave, Inc.	2.30%
GOOG	Alphabet Inc.	1.85%
XYZ	Block, Inc.	1.85%
CBRS	Cerebras Systems Inc.	1.71%
