MATX	Matson, Inc.	1.03%
VSAT	Viasat, Inc.	1.03%
SNEX	StoneX Group Inc.	0.88%
AVT	Avnet, Inc.	0.83%
LEA	Lear Corporation	0.81%
LNTH	Lantheus Holdings, Inc.	0.81%
VSH	Vishay Intertechnology, Inc.	0.80%
M	Macy's, Inc.	0.79%
CBT	Cabot Corporation	0.74%
GATX	GATX Corporation	0.74%
OSCR	Oscar Health, Inc.	0.69%
SM	SM Energy Company	0.68%
AROC	Archrock, Inc.	0.68%
ALK	Alaska Air Group, Inc.	0.66%
PLXS	Plexus Corp.	0.65%
SKYW	SkyWest, Inc.	0.64%
IRDM	Iridium Communications Inc.	0.64%
RUSHA	Rush Enterprises, Inc.	0.61%
PSMT	PriceSmart, Inc.	0.61%
MGY	Magnolia Oil & Gas Corporation	0.61%
