BKNG	Booking Holdings Inc.	2.22%
UBER	Uber Technologies, Inc.	2.19%
LOW	Lowe's Companies, Inc.	2.14%
HCA	HCA Healthcare, Inc.	2.14%
VZ	Verizon Communications Inc.	2.08%
TMUS	T-Mobile US, Inc.	2.08%
MO	Altria Group, Inc.	2.08%
BMY	Bristol-Myers Squibb Company	2.04%
T	AT&T Inc.	2.03%
GILD	Gilead Sciences, Inc.	2.01%
CMCSA	Comcast Corporation	1.98%
GD	General Dynamics Corporation	1.97%
NEM	Newmont Corporation	1.96%
F	Ford Motor Company	1.93%
PFE	Pfizer Inc.	1.89%
INTU	Intuit Inc.	1.83%
QCOM	QUALCOMM Incorporated	1.78%
MPC	Marathon Petroleum Corporation	1.76%
CRM	Salesforce, Inc.	1.73%
MCK	McKesson Corporation	1.69%
