NVDA	NVIDIA Corporation	7.77%
MSFT	Microsoft Corporation	5.70%
AAPL	Apple Inc.	3.78%
META	Meta Platforms, Inc.	2.98%
UNH	UnitedHealth Group Incorporated	2.96%
KO	The Coca-Cola Company	2.94%
HD	The Home Depot, Inc.	2.80%
JNJ	Johnson & Johnson	2.39%
ORCL	Oracle Corporation	2.36%
AVGO	Broadcom Inc.	2.32%
GOOG	Alphabet Inc.	2.31%
GOOGL	Alphabet Inc.	2.29%
ABBV	AbbVie Inc.	2.10%
CAT	Caterpillar Inc.	1.75%
AMAT	Applied Materials, Inc.	1.65%
XOM	Exxon Mobil Corporation	1.59%
IBM	International Business Machines Corporation	1.58%
LLY	Eli Lilly and Company	1.57%
MCD	McDonald's Corporation	1.56%
TMUS	T-Mobile US, Inc.	1.54%
