CAT	Caterpillar Inc.	6.53%
AAPL	Apple Inc.	5.00%
JPM	JPMorgan Chase & Co.	4.95%
MSFT	Microsoft Corporation	4.92%
GS	The Goldman Sachs Group, Inc.	4.63%
AXP	American Express Company	4.54%
TJX	The TJX Companies, Inc.	4.35%
AMGN	Amgen Inc.	4.14%
CVX	Chevron Corporation	4.08%
CME	CME Group Inc.	3.98%
IBM	International Business Machines Corporation	3.62%
HD	The Home Depot, Inc.	3.42%
MRK	Merck & Co., Inc.	3.35%
V	Visa Inc.	3.29%
WMT	Walmart Inc.	3.23%
RTX	RTX Corporation	3.21%
MCD	McDonald's Corporation	2.87%
KO	The Coca-Cola Company	2.65%
MPC	Marathon Petroleum Corporation	2.61%
FDX	FedEx Corporation	2.45%
