MO	Altria Group, Inc.	2.28%
TROW	T. Rowe Price Group, Inc.	2.12%
PRU	Prudential Financial, Inc.	1.99%
PFE	Pfizer Inc.	1.97%
VZ	Verizon Communications Inc.	1.75%
OKE	ONEOK, Inc.	1.73%
HPQ	HP Inc.	1.73%
KMB	Kimberly-Clark Corporation	1.64%
EIX	Edison International	1.63%
F	Ford Motor Company	1.58%
TGT	Target Corporation	1.53%
GIS	General Mills, Inc.	1.52%
CVS	CVS Health Corporation	1.51%
D	Dominion Energy, Inc.	1.51%
KEY	KeyCorp	1.40%
ES	Eversource Energy	1.40%
TFC	Truist Financial Corporation	1.37%
USB	U.S. Bancorp	1.34%
SW	Smurfit Westrock Plc	1.30%
PFG	Principal Financial Group, Inc.	1.30%
