NVDA	NVIDIA Corporation	7.01%
AAPL	Apple Inc.	6.46%
MSFT	Microsoft Corporation	4.16%
AMZN	Amazon.com, Inc.	3.48%
GOOG	Alphabet Inc.	3.42%
AVGO	Broadcom Inc.	2.60%
GOOGL	Alphabet Inc.	2.08%
MU	Micron Technology, Inc.	1.98%
META	Meta Platforms, Inc.	1.78%
TSLA	Tesla, Inc.	1.67%
LLY	Eli Lilly and Company	1.51%
JPM	JPMorgan Chase & Co.	1.37%
AMD	Advanced Micro Devices, Inc.	1.36%
V	Visa Inc.	1.08%
AMAT	Applied Materials, Inc.	0.98%
INTC	Intel Corporation	0.91%
LRCX	Lam Research Corporation	0.90%
JNJ	Johnson & Johnson	0.82%
CAT	Caterpillar Inc.	0.80%
ABBV	AbbVie Inc.	0.79%
