AMZN	Amazon.com, Inc.	9.96%
META	Meta Platforms, Inc.	9.82%
CSCO	Cisco Systems, Inc.	8.46%
GOOGL	Alphabet Inc.	5.36%
BKNG	Booking Holdings Inc.	5.18%
ANET	Arista Networks, Inc.	4.76%
ORCL	Oracle Corporation	4.76%
GOOG	Alphabet Inc.	4.29%
CRM	Salesforce, Inc.	4.25%
NFLX	Netflix, Inc.	4.13%
SNOW	Snowflake Inc.	3.61%
DDOG	Datadog, Inc.	3.32%
NET	Cloudflare, Inc.	3.18%
DASH	DoorDash, Inc.	2.91%
CIEN	Ciena Corporation	2.85%
ABNB	Airbnb, Inc.	2.55%
EBAY	eBay Inc.	2.01%
CVNA	Carvana Co.	1.87%
PYPL	PayPal Holdings, Inc.	1.64%
RBLX	Roblox Corporation	1.34%
