NVDA	NVIDIA Corporation	16.20%
AAPL	Apple Inc.	14.71%
MSFT	Microsoft Corporation	8.67%
MU	Micron Technology, Inc.	5.19%
AVGO	Broadcom Inc.	3.89%
AMD	Advanced Micro Devices, Inc.	3.44%
INTC	Intel Corporation	2.32%
AMAT	Applied Materials, Inc.	2.06%
LRCX	Lam Research Corporation	1.97%
CSCO	Cisco Systems, Inc.	1.85%
KLAC	KLA Corporation	1.38%
SNDK	Sandisk Corporation	1.29%
TXN	Texas Instruments Incorporated	1.09%
PANW	Palo Alto Networks, Inc.	1.06%
IBM	International Business Machines Corporation	1.05%
PLTR	Palantir Technologies Inc.	1.02%
ORCL	Oracle Corporation	1.02%
MRVL	Marvell Technology, Inc.	0.99%
WDC	Western Digital Corporation	0.88%
QCOM	QUALCOMM Incorporated	0.86%
