XOM	Exxon Mobil Corporation	7.14%
ABBV	AbbVie Inc.	6.42%
VZ	Verizon Communications Inc.	5.66%
CVX	Chevron Corporation	5.50%
HD	The Home Depot, Inc.	4.83%
PG	The Procter & Gamble Company	4.81%
PM	Philip Morris International Inc.	4.34%
PFE	Pfizer Inc.	4.28%
MRK	Merck & Co., Inc.	4.07%
KO	The Coca-Cola Company	3.98%
PEP	PepsiCo, Inc.	3.62%
MO	Altria Group, Inc.	3.41%
AMGN	Amgen Inc.	2.60%
BMY	Bristol-Myers Squibb Company	2.46%
MCD	McDonald's Corporation	2.38%
ABT	Abbott Laboratories	2.11%
MDT	Medtronic plc	1.69%
SO	The Southern Company	1.69%
COP	ConocoPhillips	1.69%
BX	Blackstone Inc.	1.62%
