VRTX	Vertex Pharmaceuticals Incorporated	8.11%
AMGN	Amgen Inc.	7.86%
GILD	Gilead Sciences, Inc.	7.03%
REGN	Regeneron Pharmaceuticals, Inc.	5.05%
ARGX	argenx SE	3.65%
ALNY	Alnylam Pharmaceuticals, Inc.	3.06%
NTRA	Natera, Inc.	2.83%
RVMD	Revolution Medicines, Inc.	2.74%
BIIB	Biogen Inc.	2.50%
ILMN	Illumina, Inc.	2.11%
MRNA	Moderna, Inc.	1.93%
INCY	Incyte Corporation	1.78%
ONC	BeOne Medicines AG	1.76%
UTHR	United Therapeutics Corporation	1.76%
INSM	Insmed Incorporated	1.76%
ROIV	Roivant Sciences Ltd.	1.39%
NBIX	Neurocrine Biosciences, Inc.	1.32%
ASND	Ascendis Pharma A/S	1.28%
GMAB	Genmab A/S	1.08%
EXEL	Exelixis, Inc.	1.06%
