PANW	Palo Alto Networks, Inc.	10.37%
MSFT	Microsoft Corporation	8.07%
PLTR	Palantir Technologies Inc.	7.70%
CRWD	CrowdStrike Holdings, Inc.	7.28%
ORCL	Oracle Corporation	6.26%
CRM	Salesforce, Inc.	4.81%
APP	AppLovin Corporation	4.76%
CDNS	Cadence Design Systems, Inc.	3.91%
NOW	ServiceNow, Inc.	3.87%
FTNT	Fortinet, Inc.	3.62%
DDOG	Datadog, Inc.	3.26%
SNPS	Synopsys, Inc.	3.23%
ADBE	Adobe Inc.	3.13%
INTU	Intuit Inc.	2.73%
EA	Electronic Arts Inc.	1.75%
TTWO	Take-Two Interactive Software, Inc.	1.65%
ADSK	Autodesk, Inc.	1.55%
ROP	Roper Technologies, Inc.	1.29%
MSTR	Strategy Inc	1.09%
FICO	Fair Isaac Corporation	1.05%
