FORM	FormFactor, Inc.	
VSAT	Viasat, Inc.	
MOH	Molina Healthcare, Inc.	
AGX	Argan, Inc.	
BTSG	BrightSpring Health Services, Inc.	
ESI	Element Solutions Inc	
MXL	MaxLinear, Inc.	
KRYS	Krystal Biotech, Inc.	
ESE	ESCO Technologies Inc.	
MTCH	Match Group, Inc.	
ALKS	Alkermes plc	
ECG	Everus Construction Group, Inc.	
SNEX	StoneX Group Inc.	
CORT	Corcept Therapeutics Incorporated	
RAL	Ralliant Corporation	
GKOS	Glaukos Corporation	
POWL	Powell Industries, Inc.	
RHP	Ryman Hospitality Properties, Inc.	
PLXS	Plexus Corp.	
NPO	Enpro Inc.	
