NVDA	NVIDIA Corporation	6.50%
AAPL	Apple Inc.	5.81%
MSFT	Microsoft Corporation	3.86%
AMZN	Amazon.com, Inc.	3.18%
GOOGL	Alphabet Inc.	2.76%
AVGO	Broadcom Inc.	2.41%
GOOG	Alphabet Inc.	2.21%
MU	Micron Technology, Inc.	1.78%
META	Meta Platforms, Inc.	1.68%
TSLA	Tesla, Inc.	1.49%
LLY	Eli Lilly and Company	1.33%
BRK.B	Berkshire Hathaway Inc.	1.27%
JPM	JPMorgan Chase & Co.	1.23%
AMD	Advanced Micro Devices, Inc.	1.19%
JNJ	Johnson & Johnson	0.85%
INTC	Intel Corporation	0.85%
XOM	Exxon Mobil Corporation	0.79%
V	Visa Inc.	0.78%
WMT	Walmart Inc.	0.71%
AMAT	Applied Materials, Inc.	0.69%
