AAPL	Apple Inc.	7.19%
AMZN	Amazon.com, Inc.	3.69%
INTC	Intel Corporation	2.09%
XOM	Exxon Mobil Corporation	1.95%
WMT	Walmart Inc.	1.75%
COST	Costco Wholesale Corporation	1.46%
TSLA	Tesla, Inc.	1.40%
UNH	UnitedHealth Group Incorporated	1.34%
BAC	Bank of America Corporation	1.30%
HD	The Home Depot, Inc.	1.20%
PG	The Procter & Gamble Company	1.20%
CVX	Chevron Corporation	1.10%
MRK	Merck & Co., Inc.	1.10%
JPM	JPMorgan Chase & Co.	0.97%
TXN	Texas Instruments Incorporated	0.90%
WFC	Wells Fargo & Company	0.89%
JNJ	Johnson & Johnson	0.87%
V	Visa Inc.	0.87%
ABBV	AbbVie Inc.	0.83%
C	Citigroup Inc.	0.83%
