NVDA	NVIDIA Corporation	7.37%
AAPL	Apple Inc.	6.58%
MSFT	Microsoft Corporation	4.38%
AMZN	Amazon.com, Inc.	3.60%
GOOGL	Alphabet Inc.	3.12%
AVGO	Broadcom Inc.	2.73%
GOOG	Alphabet Inc.	2.50%
MU	Micron Technology, Inc.	2.02%
META	Meta Platforms, Inc.	1.91%
TSLA	Tesla, Inc.	1.69%
LLY	Eli Lilly and Company	1.51%
BRK.B	Berkshire Hathaway Inc.	1.44%
JPM	JPMorgan Chase & Co.	1.39%
AMD	Advanced Micro Devices, Inc.	1.34%
JNJ	Johnson & Johnson	0.97%
INTC	Intel Corporation	0.96%
XOM	Exxon Mobil Corporation	0.89%
V	Visa Inc.	0.88%
WMT	Walmart Inc.	0.80%
AMAT	Applied Materials, Inc.	0.79%
