NVDA	NVIDIA Corporation	13.59%
MSFT	Microsoft Corporation	8.08%
AAPL	Apple Inc.	6.07%
GOOGL	Alphabet Inc.	5.77%
AVGO	Broadcom Inc.	5.04%
GOOG	Alphabet Inc.	4.61%
MU	Micron Technology, Inc.	3.72%
META	Meta Platforms, Inc.	3.52%
AMZN	Amazon.com, Inc.	3.52%
LLY	Eli Lilly and Company	2.79%
BRK.B	Berkshire Hathaway Inc.	2.66%
AMD	Advanced Micro Devices, Inc.	2.48%
TSLA	Tesla, Inc.	1.93%
JPM	JPMorgan Chase & Co.	1.75%
AMAT	Applied Materials, Inc.	1.45%
LRCX	Lam Research Corporation	1.38%
CAT	Caterpillar Inc.	1.34%
JNJ	Johnson & Johnson	1.05%
KLAC	KLA Corporation	0.95%
NFLX	Netflix, Inc.	0.91%
