NVDA	NVIDIA Corporation	6.72%
AAPL	Apple Inc.	6.03%
MSFT	Microsoft Corporation	3.99%
AMZN	Amazon.com, Inc.	3.33%
GOOGL	Alphabet Inc.	3.00%
AVGO	Broadcom Inc.	2.53%
GOOG	Alphabet Inc.	2.42%
MU	Micron Technology, Inc.	1.87%
META	Meta Platforms, Inc.	1.78%
TSLA	Tesla, Inc.	1.77%
LLY	Eli Lilly and Company	1.38%
AMD	Advanced Micro Devices, Inc.	1.36%
BRK.B	Berkshire Hathaway Inc.	1.34%
JPM	JPMorgan Chase & Co.	1.26%
INTC	Intel Corporation	0.88%
JNJ	Johnson & Johnson	0.88%
AMAT	Applied Materials, Inc.	0.83%
XOM	Exxon Mobil Corporation	0.82%
V	Visa Inc.	0.82%
LRCX	Lam Research Corporation	0.78%
