NVDA	NVIDIA Corporation	13.83%
AAPL	Apple Inc.	6.72%
GOOGL	Alphabet Inc.	6.17%
AVGO	Broadcom Inc.	5.21%
GOOG	Alphabet Inc.	4.98%
MSFT	Microsoft Corporation	4.11%
MU	Micron Technology, Inc.	3.86%
TSLA	Tesla, Inc.	3.64%
META	Meta Platforms, Inc.	3.00%
LLY	Eli Lilly and Company	2.84%
AMD	Advanced Micro Devices, Inc.	2.80%
AMAT	Applied Materials, Inc.	1.70%
V	Visa Inc.	1.68%
LRCX	Lam Research Corporation	1.60%
CAT	Caterpillar Inc.	1.43%
MA	Mastercard Incorporated	1.23%
KLAC	KLA Corporation	1.17%
GE	GE Aerospace	1.14%
SNDK	Sandisk Corporation	0.98%
GEV	GE Vernova Inc.	0.94%
