HUT	Hut 8 Corp.	0.40%
MOG.A	Moog Inc.	0.38%
XTSLA	BLK CSH FND TREASURY SL AGENCY	0.38%
BTSG	BrightSpring Health Services, Inc.	0.36%
CYTK	Cytokinetics, Incorporated	0.34%
UMBF	UMB Financial Corporation	0.34%
AGX	Argan, Inc.	0.33%
RIOT	Riot Platforms, Inc.	0.32%
SNEX	StoneX Group Inc.	0.31%
KRYS	Krystal Biotech, Inc.	0.31%
FROG	JFrog Ltd.	0.30%
CTRE	CareTrust REIT, Inc.	0.29%
ALKS	Alkermes plc	0.29%
ONB	Old National Bancorp	0.29%
ESE	ESCO Technologies Inc.	0.28%
CIFR	Cipher Digital Inc.	0.28%
FCFS	FirstCash Holdings, Inc.	0.28%
CORZ	Core Scientific, Inc.	0.27%
QBTS	D-Wave Quantum Inc.	0.26%
MXL	MaxLinear, Inc.	0.26%
