UMBF	UMB Financial Corporation	0.63%
CYTK	Cytokinetics, Incorporated	0.62%
CTRE	CareTrust REIT, Inc.	0.60%
TEX	Terex Corporation	0.53%
ONB	Old National Bancorp	0.51%
LUMN	Lumen Technologies, Inc.	0.51%
VSAT	Viasat, Inc.	0.51%
JBTM	JBT Marel Corporation	0.48%
TRNO	Terreno Realty Corporation	0.45%
VSH	Vishay Intertechnology, Inc.	0.45%
TMHC	Taylor Morrison Home Corporation	0.44%
EPRT	Essential Properties Realty Trust, Inc.	0.44%
MAC	The Macerich Company	0.43%
SWX	Southwest Gas Holdings, Inc.	0.43%
ORA	Ormat Technologies, Inc.	0.43%
JXN	Jackson Financial Inc.	0.42%
CMC	Commercial Metals Company	0.42%
HWC	Hancock Whitney Corporation	0.40%
POR	Portland General Electric Company	0.40%
GTX	Garrett Motion Inc.	0.40%
