MOG.A	Moog Inc.	0.75%
BTSG	BrightSpring Health Services, Inc.	0.69%
AGX	Argan, Inc.	0.65%
SNEX	StoneX Group Inc.	0.61%
KRYS	Krystal Biotech, Inc.	0.60%
FROG	JFrog Ltd.	0.59%
ESE	ESCO Technologies Inc.	0.56%
CIFR	Cipher Digital Inc.	0.54%
FCFS	FirstCash Holdings, Inc.	0.54%
QBTS	D-Wave Quantum Inc.	0.52%
MXL	MaxLinear, Inc.	0.52%
GKOS	Glaukos Corporation	0.51%
RHP	Ryman Hospitality Properties, Inc.	0.51%
XTSLA	BLK CSH FND TREASURY SL AGENCY	0.51%
TGTX	TG Therapeutics, Inc.	0.50%
PRAX	Praxis Precision Medicines, Inc.	0.49%
PLXS	Plexus Corp.	0.48%
ENS	EnerSys	0.48%
KGS	Kodiak Gas Services, Inc.	0.48%
ZWS	Zurn Elkay Water Solutions Corporation	0.47%
