SNOW	Snowflake Inc.	0.61%
RCL	Royal Caribbean Cruises Ltd.	0.58%
DDOG	Datadog, Inc.	0.57%
HOOD	Robinhood Markets, Inc.	0.55%
NET	Cloudflare, Inc.	0.54%
MPC	Marathon Petroleum Corporation	0.54%
SPG	Simon Property Group, Inc.	0.53%
URI	United Rentals, Inc.	0.51%
PSX	Phillips 66	0.50%
TER	Teradyne, Inc.	0.50%
DLR	Digital Realty Trust, Inc.	0.49%
COHR	Coherent Corp.	0.49%
FIX	Comfort Systems USA, Inc.	0.47%
KMI	Kinder Morgan, Inc.	0.47%
WBD	Warner Bros. Discovery, Inc.	0.47%
ALL	The Allstate Corporation	0.45%
DAL	Delta Air Lines, Inc.	0.44%
ALAB	Astera Labs, Inc.	0.44%
O	Realty Income Corporation	0.43%
GWW	W.W. Grainger, Inc.	0.43%
