NVDA	NVIDIA Corporation	6.31%
AAPL	Apple Inc.	5.76%
MSFT	Microsoft Corporation	3.89%
AMZN	Amazon.com, Inc.	3.17%
GOOGL	Alphabet Inc.	2.76%
AVGO	Broadcom Inc.	2.38%
GOOG	Alphabet Inc.	2.23%
MU	Micron Technology, Inc.	1.79%
META	Meta Platforms, Inc.	1.70%
TSLA	Tesla, Inc.	1.56%
LLY	Eli Lilly and Company	1.35%
BRK.B	Berkshire Hathaway Inc.	1.30%
JPM	JPMorgan Chase & Co.	1.24%
AMD	Advanced Micro Devices, Inc.	1.19%
JNJ	Johnson & Johnson	0.86%
XOM	Exxon Mobil Corporation	0.80%
INTC	Intel Corporation	0.79%
V	Visa Inc.	0.78%
WMT	Walmart Inc.	0.71%
AMAT	Applied Materials, Inc.	0.70%
