NVDA	NVIDIA Corporation	14.24%
AAPL	Apple Inc.	7.31%
GOOGL	Alphabet Inc.	6.28%
AVGO	Broadcom Inc.	5.69%
GOOG	Alphabet Inc.	5.09%
MU	Micron Technology, Inc.	4.99%
MSFT	Microsoft Corporation	4.76%
TSLA	Tesla, Inc.	4.33%
META	Meta Platforms, Inc.	3.75%
LLY	Eli Lilly and Company	3.53%
AMD	Advanced Micro Devices, Inc.	3.05%
V	Visa Inc.	2.00%
AMAT	Applied Materials, Inc.	1.79%
LRCX	Lam Research Corporation	1.70%
CAT	Caterpillar Inc.	1.63%
MA	Mastercard Incorporated	1.45%
GE	GE Aerospace	1.37%
KLAC	KLA Corporation	1.17%
NFLX	Netflix, Inc.	1.11%
SNDK	Sandisk Corporation	1.09%
