NVDA	NVIDIA Corporation	12.83%
AAPL	Apple Inc.	11.62%
MSFT	Microsoft Corporation	8.09%
GOOGL	Alphabet Inc.	5.85%
GOOG	Alphabet Inc.	4.72%
AVGO	Broadcom Inc.	4.23%
MU	Micron Technology, Inc.	3.93%
META	Meta Platforms, Inc.	3.62%
AMD	Advanced Micro Devices, Inc.	3.52%
INTC	Intel Corporation	3.01%
AMAT	Applied Materials, Inc.	2.82%
LRCX	Lam Research Corporation	2.66%
KLAC	KLA Corporation	1.94%
SNDK	Sandisk Corporation	1.63%
PANW	Palo Alto Networks, Inc.	1.35%
TXN	Texas Instruments Incorporated	1.33%
IBM	International Business Machines Corporation	1.30%
MRVL	Marvell Technology, Inc.	1.28%
PLTR	Palantir Technologies Inc.	1.27%
ORCL	Oracle Corporation	1.24%
