NVDA	NVIDIA Corporation	6.66%
AAPL	Apple Inc.	5.80%
MU	Micron Technology, Inc.	5.56%
GOOG	Alphabet Inc.	5.03%
MSFT	Microsoft Corporation	3.88%
AMD	Advanced Micro Devices, Inc.	3.85%
AMZN	Amazon.com, Inc.	3.66%
LRCX	Lam Research Corporation	2.88%
TSLA	Tesla, Inc.	2.38%
META	Meta Platforms, Inc.	2.37%
AVGO	Broadcom Inc.	2.15%
STX	Seagate Technology Holdings plc	1.92%
WMT	Walmart Inc.	1.78%
INTC	Intel Corporation	1.61%
MRVL	Marvell Technology, Inc.	1.37%
CSCO	Cisco Systems, Inc.	1.34%
AMAT	Applied Materials, Inc.	1.31%
NFLX	Netflix, Inc.	1.21%
PANW	Palo Alto Networks, Inc.	1.19%
COST	Costco Wholesale Corporation	1.16%
