AAL	American Airlines Group Inc.	11.31%
UAL	United Airlines Holdings, Inc.	11.10%
LUV	Southwest Airlines Co.	10.77%
DAL	Delta Air Lines, Inc.	10.53%
ALGT	Allegiant Travel Company	4.17%
ULCC	Frontier Group Holdings, Inc.	3.88%
JBLU	JetBlue Airways Corporation	3.55%
ALK	Alaska Air Group, Inc.	3.49%
SKYW	SkyWest, Inc.	3.46%
SABR	Sabre Corporation	2.20%
EXPE	Expedia Group, Inc.	2.06%
TRIP	Tripadvisor, Inc.	2.06%
BKNG	Booking Holdings Inc.	1.95%
GD	General Dynamics Corporation	1.69%
BA	The Boeing Company	1.69%
TXT	Textron Inc.	1.68%
LTM	LATAM Airlines Group S.A.	0.99%
RYAAY	Ryanair Holdings plc	0.95%
