RKT	Rocket Companies, Inc.	1.19%
NIC	Nicolet Bankshares, Inc.	1.09%
TBBK	The Bancorp, Inc.	1.08%
NMIH	NMI Holdings, Inc.	1.05%
AX	Axos Financial, Inc.	1.05%
MTG	MGIC Investment Corporation	1.04%
ESNT	Essent Group Ltd.	1.04%
AUB	Atlantic Union Bankshares Corporation	1.04%
WSBC	WesBanco, Inc.	1.04%
PFSI	PennyMac Financial Services, Inc.	1.03%
EBC	Eastern Bankshares, Inc.	1.03%
RDN	Radian Group Inc.	1.03%
PNFP	Pinnacle Financial Partners, Inc.	1.03%
UMBF	UMB Financial Corporation	1.03%
CVBF	CVB Financial Corp.	1.03%
CFG	Citizens Financial Group, Inc.	1.03%
SFBS	ServisFirst Bancshares, Inc.	1.02%
GBCI	Glacier Bancorp, Inc.	1.02%
SBCF	Seacoast Banking Corporation of Florida	1.02%
ASB	Associated Banc-Corp	1.02%
