PB	Prosperity Bancshares, Inc.	1.68%
PNFP	Pinnacle Financial Partners, Inc.	1.46%
UMBF	UMB Financial Corporation	1.46%
AUB	Atlantic Union Bankshares Corporation	1.46%
CFG	Citizens Financial Group, Inc.	1.46%
GBCI	Glacier Bancorp, Inc.	1.46%
ASB	Associated Banc-Corp	1.45%
CFR	Cullen/Frost Bankers, Inc.	1.45%
FIBK	First Interstate BancSystem, Inc.	1.44%
WBS	Webster Financial Corporation	1.44%
MTB	M&T Bank Corporation	1.44%
ONB	Old National Bancorp	1.44%
CBSH	Commerce Bancshares, Inc.	1.43%
COLB	Columbia Banking System, Inc.	1.43%
RF	Regions Financial Corporation	1.43%
FULT	Fulton Financial Corporation	1.43%
BOKF	BOK Financial Corporation	1.43%
HWC	Hancock Whitney Corporation	1.43%
FNB	F.N.B. Corporation	1.42%
HBAN	Huntington Bancshares Incorporated	1.42%
