NVDA	NVIDIA Corporation	9.09%
AAPL	Apple Inc.	8.55%
MSFT	Microsoft Corporation	6.24%
AMZN	Amazon.com, Inc.	4.88%
GOOGL	Alphabet Inc.	4.13%
AVGO	Broadcom Inc.	3.95%
GOOG	Alphabet Inc.	3.24%
META	Meta Platforms, Inc.	2.58%
TSLA	Tesla, Inc.	2.29%
MU	Micron Technology, Inc.	2.04%
LLY	Eli Lilly and Company	1.75%
AMD	Advanced Micro Devices, Inc.	1.57%
BRK.B	Berkshire Hathaway Inc.	1.53%
JPM	JPMorgan Chase & Co.	1.41%
XOM	Exxon Mobil Corporation	1.13%
V	Visa Inc.	1.02%
JNJ	Johnson & Johnson	1.01%
WMT	Walmart Inc.	0.95%
INTC	Intel Corporation	0.85%
CSCO	Cisco Systems, Inc.	0.80%
