NVDA	NVIDIA Corporation	13.39%
AAPL	Apple Inc.	12.46%
MSFT	Microsoft Corporation	8.82%
GOOGL	Alphabet Inc.	5.87%
AVGO	Broadcom Inc.	5.11%
AMZN	Amazon.com, Inc.	4.80%
GOOG	Alphabet Inc.	4.61%
TSLA	Tesla, Inc.	3.94%
META	Meta Platforms, Inc.	3.71%
LLY	Eli Lilly and Company	3.07%
AMD	Advanced Micro Devices, Inc.	3.05%
V	Visa Inc.	1.71%
LRCX	Lam Research Corporation	1.50%
ORCL	Oracle Corporation	1.45%
MA	Mastercard Incorporated	1.37%
SNDK	Sandisk Corporation	1.33%
NFLX	Netflix, Inc.	1.27%
PLTR	Palantir Technologies Inc.	1.22%
KLAC	KLA Corporation	1.03%
GEV	GE Vernova Inc.	1.02%
