MAS	Masco Corporation	2.92%
BF.B	Brown-Forman Corporation	2.63%
ABNB	Airbnb, Inc.	2.62%
KVUE	Kenvue Inc.	2.61%
ZBH	Zimmer Biomet Holdings, Inc.	2.50%
DHR	Danaher Corporation	2.50%
MDLZ	Mondelez International, Inc.	2.47%
STZ	Constellation Brands, Inc.	2.45%
BMY	Bristol-Myers Squibb Company	2.44%
SCHW	The Charles Schwab Corporation	2.42%
NVDA	NVIDIA Corporation	2.37%
AVGO	Broadcom Inc.	2.36%
VEEV	Veeva Systems Inc.	2.34%
OTIS	Otis Worldwide Corporation	2.30%
GEHC	GE HealthCare Technologies Inc.	2.29%
CLX	The Clorox Company	2.27%
DDOG	Datadog, Inc.	2.26%
PANW	Palo Alto Networks, Inc.	2.25%
MSFT	Microsoft Corporation	2.21%
LPLA	LPL Financial Holdings Inc.	2.21%
