MU	Micron Technology, Inc.	7.43%
INTC	Intel Corporation	5.31%
AMD	Advanced Micro Devices, Inc.	5.15%
CAT	Caterpillar Inc.	4.11%
AVGO	Broadcom Inc.	4.07%
LRCX	Lam Research Corporation	3.68%
AMAT	Applied Materials, Inc.	3.52%
JNJ	Johnson & Johnson	3.23%
XOM	Exxon Mobil Corporation	3.04%
GEV	GE Vernova Inc.	2.98%
WMT	Walmart Inc.	2.53%
CSCO	Cisco Systems, Inc.	2.30%
GOOGL	Alphabet Inc.	2.25%
WDC	Western Digital Corporation	2.21%
STX	Seagate Technology Holdings plc	2.14%
KLAC	KLA Corporation	1.91%
GLW	Corning Incorporated	1.85%
TXN	Texas Instruments Incorporated	1.78%
GOOG	Alphabet Inc.	1.74%
ADI	Analog Devices, Inc.	1.41%
