WST	West Pharmaceutical Services, Inc.	1.77%
HRL	Hormel Foods Corporation	1.73%
CAT	Caterpillar Inc.	1.73%
ABBV	AbbVie Inc.	1.72%
SJM	The J. M. Smucker Company	1.68%
BEN	Franklin Resources, Inc.	1.68%
SWK	Stanley Black & Decker, Inc.	1.68%
ESS	Essex Property Trust, Inc.	1.62%
CAH	Cardinal Health, Inc.	1.61%
GWW	W.W. Grainger, Inc.	1.61%
NUE	Nucor Corporation	1.60%
KMB	Kimberly-Clark Corporation	1.57%
JNJ	Johnson & Johnson	1.56%
FRT	Federal Realty Investment Trust	1.56%
CL	Colgate-Palmolive Company	1.56%
TROW	T. Rowe Price Group, Inc.	1.55%
PPG	PPG Industries, Inc.	1.54%
SYY	Sysco Corporation	1.54%
KO	The Coca-Cola Company	1.54%
CINF	Cincinnati Financial Corporation	1.54%
