NVDA	NVIDIA Corporation	10.27%
AAPL	Apple Inc.	9.18%
MSFT	Microsoft Corporation	6.10%
AMZN	Amazon.com, Inc.	5.02%
GOOGL	Alphabet Inc.	4.36%
AVGO	Broadcom Inc.	3.81%
GOOG	Alphabet Inc.	3.48%
MU	Micron Technology, Inc.	2.81%
META	Meta Platforms, Inc.	2.66%
TSLA	Tesla, Inc.	2.36%
LLY	Eli Lilly and Company	2.10%
BRK.B	Berkshire Hathaway Inc.	2.01%
JPM	JPMorgan Chase & Co.	1.94%
AMD	Advanced Micro Devices, Inc.	1.87%
JNJ	Johnson & Johnson	1.35%
INTC	Intel Corporation	1.34%
XOM	Exxon Mobil Corporation	1.25%
V	Visa Inc.	1.23%
WMT	Walmart Inc.	1.12%
AMAT	Applied Materials, Inc.	1.10%
