NVDA	NVIDIA Corporation	7.60%
AAPL	Apple Inc.	6.80%
MU	Micron Technology, Inc.	5.75%
MSFT	Microsoft Corporation	4.52%
AMZN	Amazon.com, Inc.	4.08%
AMD	Advanced Micro Devices, Inc.	3.83%
GOOGL	Alphabet Inc.	3.20%
TSLA	Tesla, Inc.	3.09%
GOOG	Alphabet Inc.	2.98%
INTC	Intel Corporation	2.90%
AVGO	Broadcom Inc.	2.82%
META	Meta Platforms, Inc.	2.66%
WMT	Walmart Inc.	2.54%
AMAT	Applied Materials, Inc.	2.24%
LRCX	Lam Research Corporation	2.13%
CSCO	Cisco Systems, Inc.	2.02%
COST	Costco Wholesale Corporation	1.90%
KLAC	KLA Corporation	1.46%
NFLX	Netflix, Inc.	1.40%
SNDK	Sandisk Corporation	1.39%
