AAPL	Apple Inc.	6.20%
NVDA	NVIDIA Corporation	5.81%
MSFT	Microsoft Corporation	5.73%
LRCX	Lam Research Corporation	5.15%
AMAT	Applied Materials, Inc.	4.41%
KLAC	KLA Corporation	4.07%
TJX	The TJX Companies, Inc.	3.82%
LLY	Eli Lilly and Company	3.81%
META	Meta Platforms, Inc.	3.72%
V	Visa Inc.	2.96%
GOOGL	Alphabet Inc.	2.05%
MA	Mastercard Incorporated	2.04%
JNJ	Johnson & Johnson	2.03%
XOM	Exxon Mobil Corporation	1.91%
BRK.B	Berkshire Hathaway Inc.	1.80%
NFLX	Netflix, Inc.	1.70%
GOOG	Alphabet Inc.	1.61%
ROST	Ross Stores, Inc.	1.32%
ANET	Arista Networks, Inc.	1.30%
MRK	Merck & Co., Inc.	1.23%
