MRNA	Moderna, Inc.	0.28%
TECH	Bio-Techne Corporation	0.26%
UAL	United Airlines Holdings, Inc.	0.26%
GLW	Corning Incorporated	0.25%
SNDK	Sandisk Corporation	0.25%
MU	Micron Technology, Inc.	0.25%
AMAT	Applied Materials, Inc.	0.24%
TER	Teradyne, Inc.	0.24%
LUV	Southwest Airlines Co.	0.24%
NRG	NRG Energy, Inc.	0.24%
IP	International Paper Company	0.24%
DASH	DoorDash, Inc.	0.24%
DAL	Delta Air Lines, Inc.	0.23%
SW	Smurfit Westrock Plc	0.23%
GEV	GE Vernova Inc.	0.23%
EXPE	Expedia Group, Inc.	0.23%
INTC	Intel Corporation	0.23%
WDC	Western Digital Corporation	0.23%
BLDR	Builders FirstSource, Inc.	0.23%
SWK	Stanley Black & Decker, Inc.	0.23%
