SNDK	Sandisk Corporation	6.57%
LITE	Lumentum Holdings Inc.	1.24%
RVMD	Revolution Medicines, Inc.	0.65%
ATI	ATI Inc.	0.56%
MKSI	MKS Inc.	0.56%
STRL	Sterling Infrastructure, Inc.	0.54%
MTSI	MACOM Technology Solutions Holdings, Inc.	0.51%
TTMI	TTM Technologies, Inc.	0.46%
NXT	Nextpower Inc.	0.38%
CDE	Coeur Mining, Inc.	0.37%
GH	Guardant Health, Inc.	0.35%
ONTO	Onto Innovation Inc.	0.34%
SITM	SiTime Corporation	0.33%
MOD	Modine Manufacturing Company	0.32%
MLI	Mueller Industries, Inc.	0.31%
RMBS	Rambus Inc.	0.31%
SATS	EchoStar Corp Class A	0.30%
SMTC	Semtech Corporation	0.30%
PNFP	Pinnacle Financial Partners, Inc.	0.30%
AEIS	Advanced Energy Industries, Inc.	0.29%
