NVDA	NVIDIA Corporation	7.04%
AAPL	Apple Inc.	6.01%
MSFT	Microsoft Corporation	3.87%
AMZN	Amazon.com, Inc.	3.28%
GOOGL	Alphabet Inc.	2.97%
AVGO	Broadcom Inc.	2.68%
GOOG	Alphabet Inc.	2.39%
MU	Micron Technology, Inc.	1.75%
META	Meta Platforms, Inc.	1.74%
TSLA	Tesla, Inc.	1.55%
BRK.B	Berkshire Hathaway Inc.	1.23%
JPM	JPMorgan Chase & Co.	1.21%
AMD	Advanced Micro Devices, Inc.	1.20%
LLY	Eli Lilly and Company	1.20%
INTC	Intel Corporation	0.86%
XOM	Exxon Mobil Corporation	0.79%
JNJ	Johnson & Johnson	0.76%
V	Visa Inc.	0.76%
WMT	Walmart Inc.	0.71%
AMAT	Applied Materials, Inc.	0.67%
