UNH	UnitedHealth Group Incorporated	4.49%
MRK	Merck & Co., Inc.	4.44%
HD	The Home Depot, Inc.	4.41%
ABT	Abbott Laboratories	4.27%
PG	The Procter & Gamble Company	4.21%
AMGN	Amgen Inc.	4.19%
KO	The Coca-Cola Company	4.15%
VZ	Verizon Communications Inc.	3.95%
PEP	PepsiCo, Inc.	3.92%
TXN	Texas Instruments Incorporated	3.66%
CVX	Chevron Corporation	3.57%
COP	ConocoPhillips	3.37%
MO	Altria Group, Inc.	3.21%
BMY	Bristol-Myers Squibb Company	3.06%
QCOM	QUALCOMM Incorporated	3.00%
LMT	Lockheed Martin Corporation	2.68%
ADP	Automatic Data Processing, Inc.	2.33%
BX	Blackstone Inc.	2.23%
CMCSA	Comcast Corporation	2.15%
UPS	United Parcel Service, Inc.	2.10%
