NVDA	NVIDIA Corporation	10.05%
AAPL	Apple Inc.	8.98%
MSFT	Microsoft Corporation	5.97%
AMZN	Amazon.com, Inc.	4.91%
GOOGL	Alphabet Inc.	4.26%
AVGO	Broadcom Inc.	3.73%
GOOG	Alphabet Inc.	3.41%
LLY	Eli Lilly and Company	3.30%
AMD	Advanced Micro Devices, Inc.	2.84%
TSLA	Tesla, Inc.	2.64%
META	Meta Platforms, Inc.	2.61%
V	Visa Inc.	2.32%
COST	Costco Wholesale Corporation	1.76%
MA	Mastercard Incorporated	1.68%
UNH	UnitedHealth Group Incorporated	1.62%
GE	GE Aerospace	1.60%
KLAC	KLA Corporation	1.35%
NFLX	Netflix, Inc.	1.29%
GEV	GE Vernova Inc.	1.17%
PLTR	Palantir Technologies Inc.	1.08%
