NVDA	NVIDIA Corporation	6.79%
AAPL	Apple Inc.	6.07%
MSFT	Microsoft Corporation	4.03%
AMZN	Amazon.com, Inc.	3.32%
GOOGL	Alphabet Inc.	2.88%
AVGO	Broadcom Inc.	2.52%
GOOG	Alphabet Inc.	2.30%
MU	Micron Technology, Inc.	1.86%
META	Meta Platforms, Inc.	1.76%
TSLA	Tesla, Inc.	1.56%
LLY	Eli Lilly and Company	1.39%
BRK.B	Berkshire Hathaway Inc.	1.33%
JPM	JPMorgan Chase & Co.	1.28%
AMD	Advanced Micro Devices, Inc.	1.24%
JNJ	Johnson & Johnson	0.89%
INTC	Intel Corporation	0.88%
XOM	Exxon Mobil Corporation	0.82%
V	Visa Inc.	0.81%
WMT	Walmart Inc.	0.74%
AMAT	Applied Materials, Inc.	0.72%
