SNDK	Sandisk Corporation	5.58%
COHR	Coherent Corp.	1.34%
CIEN	Ciena Corporation	1.22%
BE	Bloom Energy Corporation	1.19%
LITE	Lumentum Holdings Inc.	1.15%
FLEX	Flex Ltd.	0.97%
RVMD	Revolution Medicines, Inc.	0.66%
STLD	Steel Dynamics, Inc.	0.60%
CNC	Centene Corporation	0.56%
TPR	Tapestry, Inc.	0.53%
CRS	Carpenter Technology Corporation	0.53%
TWLO	Twilio Inc.	0.52%
CASY	Casey's General Stores, Inc.	0.52%
CW	Curtiss-Wright Corporation	0.50%
ATI	ATI Inc.	0.49%
FTAI	FTAI Aviation Ltd.	0.48%
NVT	nVent Electric plc	0.47%
MKSI	MKS Inc.	0.47%
WWD	Woodward, Inc.	0.46%
FTI	TechnipFMC plc	0.46%
