MU	Micron Technology, Inc.	3.99%
BRK.B	Berkshire Hathaway Inc.	2.85%
JPM	JPMorgan Chase & Co.	2.75%
JNJ	Johnson & Johnson	1.91%
INTC	Intel Corporation	1.89%
XOM	Exxon Mobil Corporation	1.77%
WMT	Walmart Inc.	1.58%
AMAT	Applied Materials, Inc.	1.55%
LRCX	Lam Research Corporation	1.48%
CAT	Caterpillar Inc.	1.43%
CSCO	Cisco Systems, Inc.	1.40%
ABBV	AbbVie Inc.	1.40%
BAC	Bank of America Corporation	1.18%
HD	The Home Depot, Inc.	1.09%
PG	The Procter & Gamble Company	1.08%
CVX	Chevron Corporation	1.00%
KO	The Coca-Cola Company	1.00%
MRK	Merck & Co., Inc.	0.99%
GS	The Goldman Sachs Group, Inc.	0.94%
PM	Philip Morris International Inc.	0.88%
