NVDA	NVIDIA Corporation	6.99%
AAPL	Apple Inc.	6.25%
MSFT	Microsoft Corporation	4.15%
AMZN	Amazon.com, Inc.	3.42%
GOOGL	Alphabet Inc.	2.97%
AVGO	Broadcom Inc.	2.59%
GOOG	Alphabet Inc.	2.37%
MU	Micron Technology, Inc.	1.92%
META	Meta Platforms, Inc.	1.81%
TSLA	Tesla, Inc.	1.60%
LLY	Eli Lilly and Company	1.43%
BRK.B	Berkshire Hathaway Inc.	1.37%
JPM	JPMorgan Chase & Co.	1.32%
AMD	Advanced Micro Devices, Inc.	1.28%
JNJ	Johnson & Johnson	0.92%
INTC	Intel Corporation	0.91%
XOM	Exxon Mobil Corporation	0.85%
V	Visa Inc.	0.84%
WMT	Walmart Inc.	0.76%
AMAT	Applied Materials, Inc.	0.75%
