VZ	Verizon Communications Inc.	2.22%
O	Realty Income Corporation	2.15%
KMB	Kimberly-Clark Corporation	1.74%
KVUE	Kenvue Inc.	1.74%
ABBV	AbbVie Inc.	1.63%
QCOM	QUALCOMM Incorporated	1.59%
TGT	Target Corporation	1.58%
ADP	Automatic Data Processing, Inc.	1.54%
TXN	Texas Instruments Incorporated	1.48%
EIX	Edison International	1.46%
WEC	WEC Energy Group, Inc.	1.42%
SYY	Sysco Corporation	1.40%
ES	Eversource Energy	1.37%
PEP	PepsiCo, Inc.	1.36%
ED	Consolidated Edison, Inc.	1.35%
MDT	Medtronic plc	1.34%
SO	The Southern Company	1.34%
ADM	Archer-Daniels-Midland Company	1.30%
CVX	Chevron Corporation	1.29%
MCHP	Microchip Technology Incorporated	1.28%
