ANET	Arista Networks, Inc.	4.02%
NTNX	Nutanix, Inc.	3.88%
IBM	International Business Machines Corporation	3.71%
DOCN	DigitalOcean Holdings, Inc.	3.63%
GOOGL	Alphabet Inc.	3.61%
P	Everpure, Inc.	3.54%
AMZN	Amazon.com, Inc.	3.50%
MSFT	Microsoft Corporation	3.37%
MDB	MongoDB, Inc.	3.17%
CRWV	CoreWeave, Inc.	2.99%
ORCL	Oracle Corporation	2.68%
NET	Cloudflare, Inc.	2.66%
CSCO	Cisco Systems, Inc.	2.56%
LUMN	Lumen Technologies, Inc.	2.49%
HPE	Hewlett Packard Enterprise Company	2.06%
AKAM	Akamai Technologies, Inc.	2.05%
TWLO	Twilio Inc.	2.04%
SHOP	Shopify Inc.	2.00%
TTAN	ServiceTitan, Inc.	1.94%
DELL	Dell Technologies Inc.	1.93%
