NVDA	NVIDIA Corporation	18.16%
TSM	Taiwan Semiconductor Manufacturing Company Limited	9.04%
MU	Micron Technology, Inc.	5.99%
AVGO	Broadcom Inc.	5.49%
AMD	Advanced Micro Devices, Inc.	5.44%
AMAT	Applied Materials, Inc.	5.35%
INTC	Intel Corporation	5.09%
LRCX	Lam Research Corporation	5.00%
KLAC	KLA Corporation	4.94%
ASML	ASML Holding N.V.	4.89%
MRVL	Marvell Technology, Inc.	4.49%
TXN	Texas Instruments Incorporated	4.29%
ADI	Analog Devices, Inc.	4.19%
QCOM	QUALCOMM Incorporated	4.12%
CDNS	Cadence Design Systems, Inc.	2.33%
SNPS	Synopsys, Inc.	1.96%
TER	Teradyne, Inc.	1.45%
STM	STMicroelectronics N.V.	1.29%
MPWR	Monolithic Power Systems, Inc.	1.25%
NXPI	NXP Semiconductors N.V.	1.22%
