MO	Altria Group, Inc.	3.57%
DOC	Healthpeak Properties, Inc.	3.55%
VZ	Verizon Communications Inc.	3.31%
BEN	Franklin Resources, Inc.	2.94%
KHC	The Kraft Heinz Company	2.91%
OKE	ONEOK, Inc.	2.75%
PFE	Pfizer Inc.	2.71%
AMCR	Amcor plc	2.60%
KIM	Kimco Realty Corporation	2.57%
VICI	VICI Properties Inc.	2.51%
O	Realty Income Corporation	2.44%
CAG	Conagra Brands, Inc.	2.40%
KMB	Kimberly-Clark Corporation	2.28%
HRL	Hormel Foods Corporation	2.22%
PSA	Public Storage	2.17%
D	Dominion Energy, Inc.	2.17%
TROW	T. Rowe Price Group, Inc.	2.15%
EXR	Extra Space Storage Inc.	2.13%
BXP	BXP, Inc.	2.13%
CCI	Crown Castle Inc.	2.12%
