LRCX	Lam Research Corporation	5.30%
V	Visa Inc.	4.96%
MA	Mastercard Incorporated	4.88%
AAPL	Apple Inc.	4.53%
GEV	GE Vernova Inc.	4.38%
GE	GE Aerospace	3.91%
SNDK	Sandisk Corporation	3.82%
COST	Costco Wholesale Corporation	3.78%
NFLX	Netflix, Inc.	3.64%
CSCO	Cisco Systems, Inc.	3.61%
WDC	Western Digital Corporation	3.52%
KLAC	KLA Corporation	3.44%
AMAT	Applied Materials, Inc.	3.43%
PG	The Procter & Gamble Company	2.79%
QCOM	QUALCOMM Incorporated	2.49%
APP	AppLovin Corporation	2.47%
TXN	Texas Instruments Incorporated	2.18%
STX	Seagate Technology Holdings plc	1.62%
TJX	The TJX Companies, Inc.	1.45%
NEM	Newmont Corporation	1.39%
