NVDA	NVIDIA Corporation	6.92%
AAPL	Apple Inc.	6.07%
MSFT	Microsoft Corporation	3.96%
AMZN	Amazon.com, Inc.	3.33%
GOOGL	Alphabet Inc.	2.99%
AVGO	Broadcom Inc.	2.56%
GOOG	Alphabet Inc.	2.38%
MU	Micron Technology, Inc.	1.86%
META	Meta Platforms, Inc.	1.76%
TSLA	Tesla, Inc.	1.69%
LLY	Eli Lilly and Company	1.35%
AMD	Advanced Micro Devices, Inc.	1.35%
BRK.B	Berkshire Hathaway Inc.	1.31%
JPM	JPMorgan Chase & Co.	1.25%
INTC	Intel Corporation	0.94%
JNJ	Johnson & Johnson	0.88%
V	Visa Inc.	0.82%
AMAT	Applied Materials, Inc.	0.82%
XOM	Exxon Mobil Corporation	0.81%
LRCX	Lam Research Corporation	0.77%
