NVDA	NVIDIA Corporation	13.57%
MSFT	Microsoft Corporation	7.76%
AAPL	Apple Inc.	5.95%
GOOGL	Alphabet Inc.	5.87%
AVGO	Broadcom Inc.	5.01%
GOOG	Alphabet Inc.	4.68%
MU	Micron Technology, Inc.	3.65%
META	Meta Platforms, Inc.	3.46%
AMZN	Amazon.com, Inc.	3.46%
LLY	Eli Lilly and Company	2.66%
AMD	Advanced Micro Devices, Inc.	2.65%
BRK.B	Berkshire Hathaway Inc.	2.57%
TSLA	Tesla, Inc.	2.06%
JPM	JPMorgan Chase & Co.	1.67%
AMAT	Applied Materials, Inc.	1.61%
LRCX	Lam Research Corporation	1.52%
CAT	Caterpillar Inc.	1.37%
KLAC	KLA Corporation	1.10%
JNJ	Johnson & Johnson	1.01%
SNDK	Sandisk Corporation	0.94%
