AAPL	Apple Inc.	7.33%
AMZN	Amazon.com, Inc.	3.78%
INTC	Intel Corporation	2.27%
XOM	Exxon Mobil Corporation	1.95%
WMT	Walmart Inc.	1.71%
TSLA	Tesla, Inc.	1.55%
COST	Costco Wholesale Corporation	1.43%
UNH	UnitedHealth Group Incorporated	1.30%
BAC	Bank of America Corporation	1.28%
HD	The Home Depot, Inc.	1.21%
PG	The Procter & Gamble Company	1.18%
MRK	Merck & Co., Inc.	1.09%
CVX	Chevron Corporation	1.07%
JPM	JPMorgan Chase & Co.	0.97%
TXN	Texas Instruments Incorporated	0.94%
V	Visa Inc.	0.88%
WFC	Wells Fargo & Company	0.87%
JNJ	Johnson & Johnson	0.86%
ABBV	AbbVie Inc.	0.83%
C	Citigroup Inc.	0.82%
