NVDA	NVIDIA Corporation	7.26%
AAPL	Apple Inc.	6.19%
MSFT	Microsoft Corporation	3.86%
GOOG	Alphabet Inc.	3.35%
AVGO	Broadcom Inc.	2.62%
GOOGL	Alphabet Inc.	2.58%
MU	Micron Technology, Inc.	1.92%
TSLA	Tesla, Inc.	1.82%
AMAT	Applied Materials, Inc.	1.63%
AMD	Advanced Micro Devices, Inc.	1.61%
LLY	Eli Lilly and Company	1.46%
LRCX	Lam Research Corporation	1.41%
HIG	The Hartford Insurance Group, Inc.	1.31%
MS	Morgan Stanley	1.27%
HD	The Home Depot, Inc.	1.16%
INTC	Intel Corporation	1.04%
V	Visa Inc.	1.02%
BNY	The Bank of New York Mellon Corporation	1.01%
ECL	Ecolab Inc.	0.97%
PANW	Palo Alto Networks, Inc.	0.97%
