APH	Amphenol Corporation	1.66%
JNJ	Johnson & Johnson	1.58%
VRTX	Vertex Pharmaceuticals Incorporated	1.55%
WELL	Welltower Inc.	1.55%
CB	Chubb Limited	1.53%
CSCO	Cisco Systems, Inc.	1.51%
DUK	Duke Energy Corporation	1.50%
SO	The Southern Company	1.50%
BRK.B	Berkshire Hathaway Inc.	1.45%
WM	Waste Management, Inc.	1.38%
MRK	Merck & Co., Inc.	1.36%
MSI	Motorola Solutions, Inc.	1.34%
VZ	Verizon Communications Inc.	1.34%
NVDA	NVIDIA Corporation	1.31%
MSFT	Microsoft Corporation	1.31%
IBM	International Business Machines Corporation	1.31%
ED	Consolidated Edison, Inc.	1.29%
WCN	Waste Connections, Inc.	1.27%
RSG	Republic Services, Inc.	1.27%
XOM	Exxon Mobil Corporation	1.24%
