LIN	Linde plc	14.78%
NEM	Newmont Corporation	7.60%
FCX	Freeport-McMoRan Inc.	6.05%
CRH	CRH plc	4.67%
SHW	The Sherwin-Williams Company	4.58%
ECL	Ecolab Inc.	4.17%
APD	Air Products and Chemicals, Inc.	3.61%
NUE	Nucor Corporation	3.56%
CTVA	Corteva, Inc.	3.37%
VMC	Vulcan Materials Company	2.37%
STLD	Steel Dynamics, Inc.	2.29%
MLM	Martin Marietta Materials, Inc.	2.25%
AMRZ	Amrize AG	1.74%
PPG	PPG Industries, Inc.	1.62%
DOW	Dow Inc.	1.56%
SW	Smurfit Westrock Plc	1.38%
ALB	Albemarle Corporation	1.33%
AA	Alcoa Corporation	1.31%
CDE	Coeur Mining, Inc.	1.28%
DD	DuPont de Nemours, Inc.	1.27%
