FLEX	Flex Ltd.	0.69%
ALAB	Astera Labs, Inc.	0.62%
CIEN	Ciena Corporation	0.51%
RKLB	Rocket Lab Corporation	0.51%
CRDO	Credo Technology Group Holding Ltd	0.48%
BE	Bloom Energy Corporation	0.47%
EME	EMCOR Group, Inc.	0.46%
JBL	Jabil Inc.	0.45%
COHR	Coherent Corp.	0.42%
FIX	Comfort Systems USA, Inc.	0.40%
RVMD	Revolution Medicines, Inc.	0.39%
LITE	Lumentum Holdings Inc.	0.38%
NTRA	Natera, Inc.	0.37%
TPR	Tapestry, Inc.	0.37%
ASTS	AST SpaceMobile, Inc.	0.37%
TWLO	Twilio Inc.	0.36%
NRG	NRG Energy, Inc.	0.35%
CASY	Casey's General Stores, Inc.	0.35%
ATO	Atmos Energy Corporation	0.35%
CW	Curtiss-Wright Corporation	0.34%
