ALAB	Astera Labs, Inc.	1.37%
CIEN	Ciena Corporation	1.14%
RKLB	Rocket Lab Corporation	1.13%
CRDO	Credo Technology Group Holding Ltd	1.06%
BE	Bloom Energy Corporation	1.05%
COHR	Coherent Corp.	0.94%
FIX	Comfort Systems USA, Inc.	0.89%
RVMD	Revolution Medicines, Inc.	0.87%
LITE	Lumentum Holdings Inc.	0.85%
NTRA	Natera, Inc.	0.82%
ASTS	AST SpaceMobile, Inc.	0.82%
TWLO	Twilio Inc.	0.80%
CASY	Casey's General Stores, Inc.	0.79%
CW	Curtiss-Wright Corporation	0.76%
FTI	TechnipFMC plc	0.76%
NVT	nVent Electric plc	0.75%
FTAI	FTAI Aviation Ltd.	0.74%
STRL	Sterling Infrastructure, Inc.	0.69%
P	Everpure, Inc.	0.69%
MTSI	MACOM Technology Solutions Holdings, Inc.	0.68%
