FLEX	Flex Ltd.	1.25%
JBL	Jabil Inc.	0.82%
TPR	Tapestry, Inc.	0.66%
NRG	NRG Energy, Inc.	0.64%
ATO	Atmos Energy Corporation	0.63%
UTHR	United Therapeutics Corporation	0.55%
WSM	Williams-Sonoma, Inc.	0.55%
ILMN	Illumina, Inc.	0.53%
OMC	Omnicom Group Inc.	0.51%
MKSI	MKS Inc.	0.49%
FFIV	F5, Inc.	0.49%
AKAM	Akamai Technologies, Inc.	0.49%
SW	Smurfit Westrock Plc	0.48%
CHRW	C.H. Robinson Worldwide, Inc.	0.48%
JBHT	J.B. Hunt Transport Services, Inc.	0.47%
AA	Alcoa Corporation	0.46%
DD	DuPont de Nemours, Inc.	0.45%
RS	Reliance, Inc.	0.44%
BG	Bunge Global SA	0.43%
SNX	TD SYNNEX Corporation	0.43%
