AMZN	Amazon.com, Inc.	22.14%
TSLA	Tesla, Inc.	17.67%
HD	The Home Depot, Inc.	4.56%
MCD	McDonald's Corporation	2.89%
TJX	The TJX Companies, Inc.	2.51%
BKNG	Booking Holdings Inc.	1.98%
LOW	Lowe's Companies, Inc.	1.76%
SBUX	Starbucks Corporation	1.66%
MAR	Marriott International, Inc.	1.28%
GM	General Motors Company	1.16%
MELI	MercadoLibre, Inc.	1.16%
HLT	Hilton Worldwide Holdings Inc.	1.14%
ROST	Ross Stores, Inc.	1.13%
RCL	Royal Caribbean Cruises Ltd.	1.11%
ORLY	O'Reilly Automotive, Inc.	1.10%
F	Ford Motor Company	1.05%
DASH	DoorDash, Inc.	0.92%
ABNB	Airbnb, Inc.	0.87%
NKE	NIKE, Inc.	0.85%
EBAY	eBay Inc.	0.76%
