WMT	Walmart Inc.	14.46%
COST	Costco Wholesale Corporation	11.81%
PG	The Procter & Gamble Company	8.67%
KO	The Coca-Cola Company	7.89%
PEP	PepsiCo, Inc.	4.51%
PM	Philip Morris International Inc.	4.35%
MO	Altria Group, Inc.	3.89%
MDLZ	Mondelez International, Inc.	2.68%
CL	Colgate-Palmolive Company	2.37%
MNST	Monster Beverage Corporation	2.23%
TGT	Target Corporation	2.02%
KDP	Keurig Dr Pepper Inc.	1.43%
ADM	Archer-Daniels-Midland Company	1.41%
KR	The Kroger Co.	1.38%
SYY	Sysco Corporation	1.34%
KVUE	Kenvue Inc.	1.24%
HSY	The Hershey Company	1.10%
CASY	Casey's General Stores, Inc.	1.10%
KMB	Kimberly-Clark Corporation	1.05%
DG	Dollar General Corporation	0.98%
