XOM	Exxon Mobil Corporation	21.86%
CVX	Chevron Corporation	14.14%
COP	ConocoPhillips	5.75%
WMB	The Williams Companies, Inc.	3.62%
SLB	SLB N.V.	3.47%
MPC	Marathon Petroleum Corporation	3.13%
VLO	Valero Energy Corporation	3.13%
EOG	EOG Resources, Inc.	3.04%
PSX	Phillips 66	2.96%
BKR	Baker Hughes Company	2.63%
KMI	Kinder Morgan, Inc.	2.52%
TRGP	Targa Resources Corp.	2.29%
OKE	ONEOK, Inc.	2.21%
DVN	Devon Energy Corporation	2.10%
LNG	Cheniere Energy, Inc.	1.99%
OXY	Occidental Petroleum Corporation	1.57%
FANG	Diamondback Energy, Inc.	1.51%
EQT	EQT Corporation	1.43%
HAL	Halliburton Company	1.40%
FTI	TechnipFMC plc	1.21%
